LastName0 FirstName0 2 3.6
LastName1 FirstName1 5 3.6
LastName2 FirstName2 2 2.2
LastName3 FirstName3 4 1.3
LastName4 FirstName4 2 1.7
LastName5 FirstName5 4 1.2
LastName6 FirstName6 1 3.1
LastName7 FirstName7 1 1.6
LastName8 FirstName8 5 3.1
LastName9 FirstName9 1 1.3
LastName10 FirstName10 1 3.9
LastName11 FirstName11 3 2.4
LastName12 FirstName12 5 1.7
LastName13 FirstName13 3 2.2
LastName14 FirstName14 1 2.9
LastName15 FirstName15 2 3.2
LastName16 FirstName16 1 2.3
LastName17 FirstName17 5 2.9
LastName18 FirstName18 1 2.5
LastName19 FirstName19 2 2.5
LastName20 FirstName20 1 2.7
LastName21 FirstName21 4 3.6
LastName22 FirstName22 5 1.6
LastName23 FirstName23 3 2.4
LastName24 FirstName24 5 1.0
LastName25 FirstName25 5 2.8
LastName26 FirstName26 1 1.0
LastName27 FirstName27 1 3.1
LastName28 FirstName28 3 2.1
LastName29 FirstName29 5 3.6
LastName30 FirstName30 3 1.1
LastName31 FirstName31 1 2.9
LastName32 FirstName32 5 2.7
LastName33 FirstName33 2 3.5
LastName34 FirstName34 1 1.4
LastName35 FirstName35 3 1.6
LastName36 FirstName36 3 1.0
LastName37 FirstName37 1 1.2
LastName38 FirstName38 4 1.8
LastName39 FirstName39 5 1.0
LastName40 FirstName40 4 3.9
LastName41 FirstName41 1 1.4
LastName42 FirstName42 5 3.5
LastName43 FirstName43 5 3.6
LastName44 FirstName44 3 2.2
LastName45 FirstName45 5 3.1
LastName46 FirstName46 3 2.0
LastName47 FirstName47 1 2.1
LastName48 FirstName48 1 2.1
LastName49 FirstName49 5 2.0
LastName50 FirstName50 2 1.2
LastName51 FirstName51 1 1.8
LastName52 FirstName52 2 2.4
LastName53 FirstName53 1 1.4
LastName54 FirstName54 1 3.5
LastName55 FirstName55 3 3.3
LastName56 FirstName56 3 3.7
LastName57 FirstName57 3 3.1
LastName58 FirstName58 3 3.3
LastName59 FirstName59 2 2.9
LastName60 FirstName60 3 3.6
LastName61 FirstName61 1 1.3
LastName62 FirstName62 3 3.2
LastName63 FirstName63 1 1.6
LastName64 FirstName64 3 1.1
LastName65 FirstName65 1 1.8
LastName66 FirstName66 5 2.9
LastName67 FirstName67 1 2.7
LastName68 FirstName68 1 2.9
LastName69 FirstName69 3 1.6
LastName70 FirstName70 3 3.6
LastName71 FirstName71 5 3.3
LastName72 FirstName72 3 3.9
LastName73 FirstName73 2 2.8
LastName74 FirstName74 2 1.6
